Henderson,Jordan,Liverpool
CM,DM,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,85
NON_PEN_XG,0.06,49
TOTAL_SHOTS,1.03,59
ASSISTS,0.14,79
XA,0.11,81
NON_PEN_XG+XA,0.18,70
SHOT_CREATIONS,2.34,73
PASSES_ATTEMPTED,86.34,97
PASS_COMPLETION_PERCENTAGE,86.5,71
PROGRESSIVE_PASSES,6.31,92
PROGRESSIVE CARRIES,5.45,82
DRIBBLES_COMPLETED,0.45,18
TOUCHES_IN_AREA,1.17,55
PROGRESSIVE_PASSES_RECIEVED,2.79,78
PRESSURES,12.03,3
TACKLES,1.07,4
INTERCEPTIONS,1.69,57
BLOCKS,1.14,14
CLEARANCES,1.69,64
AERIAL_DUELS_WON,0.86,35
