Matip,Joël,Liverpool
CB,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.07,78
TOTAL_SHOTS,0.95,95
ASSISTS,0.09,97
XA,0.03,83
NON_PEN_XG+XA,0.10,88
SHOT_CREATIONS,0.99,91
PASSES_ATTEMPTED,71.23,92
PASS_COMPLETION_PERCENTAGE,92.1,92
PROGRESSIVE_PASSES,4.68,94
PROGRESSIVE CARRIES,7.14,98
DRIBBLES_COMPLETED,0.33,76
TOUCHES_IN_AREA,1.56,95
PROGRESSIVE_PASSES_RECIEVED,0.33,83
PRESSURES,6.38,14
TACKLES,1.51,53
INTERCEPTIONS,1.23,10
BLOCKS,1.18,7
CLEARANCES,4.02,23
AERIAL_DUELS_WON,4.44,98
