Mané,Sadio,Liverpool
LW,LAM,AM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.41,89
NON_PEN_XG,0.49,97
TOTAL_SHOTS,2.85,88
ASSISTS,0.18,51
XA,0.16,42
NON_PEN_XG+XA,0.65,92
SHOT_CREATIONS,3.36,57
PASSES_ATTEMPTED,32.41,24
PASS_COMPLETION_PERCENTAGE,74.2,37
PROGRESSIVE_PASSES,3.38,54
PROGRESSIVE CARRIES,6.62,63
DRIBBLES_COMPLETED,2.06,67
TOUCHES_IN_AREA,8.54,97
PROGRESSIVE_PASSES_RECIEVED,11.46,99
PRESSURES,13.84,29
TACKLES,1.26,41
INTERCEPTIONS,0.57,18
BLOCKS,1.23,54
CLEARANCES,0.30,21
AERIAL_DUELS_WON,0.96,73
