Holgate,Mason,Everton
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,13
TOTAL_SHOTS,0.15,5
ASSISTS,0.00,28
XA,0.02,69
NON_PEN_XG+XA,0.04,22
SHOT_CREATIONS,0.62,62
PASSES_ATTEMPTED,44.08,22
PASS_COMPLETION_PERCENTAGE,76.9,4
PROGRESSIVE_PASSES,2.35,40
PROGRESSIVE CARRIES,1.80,29
DRIBBLES_COMPLETED,0.22,54
TOUCHES_IN_AREA,0.26,5
PROGRESSIVE_PASSES_RECIEVED,0.44,90
PRESSURES,11.96,85
TACKLES,2.46,93
INTERCEPTIONS,1.72,51
BLOCKS,2.02,82
CLEARANCES,4.80,47
AERIAL_DUELS_WON,2.35,42
