Pickford,Jordan,Everton
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.01,59
GOALS_CONCEDED,1.38,49
SAVE_PERCENTAGE,69.9,58
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,30.6,65
TOUCHES,38.23,69
LAUNCH_PERCENTAGE,58.2,90
GOAL_KICKS,7.56,55
AVG_GOAL_KICK_DISTANCE,61.2,93
CROSSES_STOPPED_PERCENTAGE,9.0,79
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.59,41
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.6,55
