Gray,Demarai,Everton
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,70
NON_PEN_XG,0.21,54
TOTAL_SHOTS,2.68,79
ASSISTS,0.20,54
XA,0.18,58
NON_PEN_XG+XA,0.39,52
SHOT_CREATIONS,3.22,51
PASSES_ATTEMPTED,30.69,20
PASS_COMPLETION_PERCENTAGE,71.2,23
PROGRESSIVE_PASSES,1.93,10
PROGRESSIVE CARRIES,7.49,76
DRIBBLES_COMPLETED,1.88,62
TOUCHES_IN_AREA,4.76,68
PROGRESSIVE_PASSES_RECIEVED,6.74,56
PRESSURES,10.71,8
TACKLES,1.09,30
INTERCEPTIONS,0.60,23
BLOCKS,0.74,10
CLEARANCES,0.64,64
AERIAL_DUELS_WON,0.20,8
