Keane,Michael,Everton
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,63
NON_PEN_XG,0.03,26
TOTAL_SHOTS,0.56,65
ASSISTS,0.08,94
XA,0.04,88
NON_PEN_XG+XA,0.07,56
SHOT_CREATIONS,0.64,63
PASSES_ATTEMPTED,43.80,20
PASS_COMPLETION_PERCENTAGE,84.2,33
PROGRESSIVE_PASSES,2.50,45
PROGRESSIVE CARRIES,2.15,37
DRIBBLES_COMPLETED,0.21,53
TOUCHES_IN_AREA,1.02,73
PROGRESSIVE_PASSES_RECIEVED,0.11,34
PRESSURES,6.63,17
TACKLES,1.40,45
INTERCEPTIONS,1.85,62
BLOCKS,2.31,94
CLEARANCES,5.96,81
AERIAL_DUELS_WON,4.00,93
