Townsend,Andros,Everton
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,11
NON_PEN_XG,0.11,14
TOTAL_SHOTS,1.45,20
ASSISTS,0.17,46
XA,0.15,37
NON_PEN_XG+XA,0.26,15
SHOT_CREATIONS,3.15,47
PASSES_ATTEMPTED,31.63,22
PASS_COMPLETION_PERCENTAGE,70.5,20
PROGRESSIVE_PASSES,2.94,35
PROGRESSIVE CARRIES,4.81,23
DRIBBLES_COMPLETED,1.38,37
TOUCHES_IN_AREA,1.66,3
PROGRESSIVE_PASSES_RECIEVED,3.32,4
PRESSURES,20.52,85
TACKLES,2.25,93
INTERCEPTIONS,1.87,99
BLOCKS,2.49,99
CLEARANCES,0.35,27
AERIAL_DUELS_WON,0.28,15
