Digne,Lucas,Everton
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,32
TOTAL_SHOTS,0.54,47
ASSISTS,0.09,54
XA,0.15,86
NON_PEN_XG+XA,0.18,77
SHOT_CREATIONS,2.40,84
PASSES_ATTEMPTED,51.83,46
PASS_COMPLETION_PERCENTAGE,71.2,11
PROGRESSIVE_PASSES,3.31,41
PROGRESSIVE CARRIES,3.31,19
DRIBBLES_COMPLETED,0.51,24
TOUCHES_IN_AREA,1.14,41
PROGRESSIVE_PASSES_RECIEVED,2.71,71
PRESSURES,13.17,57
TACKLES,2.74,82
INTERCEPTIONS,1.60,50
BLOCKS,1.97,59
CLEARANCES,2.83,73
AERIAL_DUELS_WON,2.69,97
