Sánchez,Manuel,Osasuna
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,56
NON_PEN_XG,0.02,24
TOTAL_SHOTS,0.22,12
ASSISTS,0.27,96
XA,0.08,48
NON_PEN_XG+XA,0.09,30
SHOT_CREATIONS,1.86,60
PASSES_ATTEMPTED,45.53,20
PASS_COMPLETION_PERCENTAGE,74.2,26
PROGRESSIVE_PASSES,4.21,71
PROGRESSIVE CARRIES,3.81,31
DRIBBLES_COMPLETED,0.89,56
TOUCHES_IN_AREA,1.46,56
PROGRESSIVE_PASSES_RECIEVED,2.83,75
PRESSURES,20.24,99
TACKLES,2.66,82
INTERCEPTIONS,1.33,27
BLOCKS,1.46,18
CLEARANCES,1.68,20
AERIAL_DUELS_WON,0.62,16
