Sanjurjo,Oier,Osasuna
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.08,70
TOTAL_SHOTS,0.96,52
ASSISTS,0.00,11
XA,0.07,51
NON_PEN_XG+XA,0.15,58
SHOT_CREATIONS,1.18,17
PASSES_ATTEMPTED,34.54,9
PASS_COMPLETION_PERCENTAGE,70.2,1
PROGRESSIVE_PASSES,3.15,31
PROGRESSIVE CARRIES,1.46,3
DRIBBLES_COMPLETED,0.34,10
TOUCHES_IN_AREA,1.52,71
PROGRESSIVE_PASSES_RECIEVED,2.59,73
PRESSURES,19.74,66
TACKLES,1.74,26
INTERCEPTIONS,1.29,27
BLOCKS,1.63,58
CLEARANCES,2.03,81
AERIAL_DUELS_WON,3.32,97
