Herrera,Sergio,Osasuna
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.04,66
GOALS_CONCEDED,1.11,77
SAVE_PERCENTAGE,68.9,50
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,33.3,76
TOUCHES,35.61,52
LAUNCH_PERCENTAGE,78.2,98
GOAL_KICKS,8.25,80
AVG_GOAL_KICK_DISTANCE,63.0,94
CROSSES_STOPPED_PERCENTAGE,6.8,41
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.22,93
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.4,80
