Martínez,Javi,Osasuna
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,95
NON_PEN_XG,0.11,81
TOTAL_SHOTS,0.90,47
ASSISTS,0.11,73
XA,0.12,85
NON_PEN_XG+XA,0.24,86
SHOT_CREATIONS,2.49,78
PASSES_ATTEMPTED,35.16,10
PASS_COMPLETION_PERCENTAGE,67.5,1
PROGRESSIVE_PASSES,2.04,4
PROGRESSIVE CARRIES,2.94,28
DRIBBLES_COMPLETED,1.02,67
TOUCHES_IN_AREA,2.83,95
PROGRESSIVE_PASSES_RECIEVED,4.30,92
PRESSURES,22.16,84
TACKLES,2.60,72
INTERCEPTIONS,1.36,30
BLOCKS,2.15,89
CLEARANCES,0.79,14
AERIAL_DUELS_WON,1.13,48
