Moncayola,Jon,Osasuna
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,71
NON_PEN_XG,0.06,49
TOTAL_SHOTS,1.22,74
ASSISTS,0.06,47
XA,0.05,39
NON_PEN_XG+XA,0.12,40
SHOT_CREATIONS,1.37,27
PASSES_ATTEMPTED,40.08,20
PASS_COMPLETION_PERCENTAGE,79.6,25
PROGRESSIVE_PASSES,3.03,25
PROGRESSIVE CARRIES,2.08,10
DRIBBLES_COMPLETED,0.30,7
TOUCHES_IN_AREA,1.01,46
PROGRESSIVE_PASSES_RECIEVED,1.84,56
PRESSURES,20.44,72
TACKLES,1.49,13
INTERCEPTIONS,0.95,11
BLOCKS,1.70,63
CLEARANCES,1.64,58
AERIAL_DUELS_WON,1.19,51
