Ávila,Ezequiel,Osasuna
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,44
NON_PEN_XG,0.23,17
TOTAL_SHOTS,3.12,82
ASSISTS,0.00,5
XA,0.07,15
NON_PEN_XG+XA,0.30,9
SHOT_CREATIONS,1.67,18
PASSES_ATTEMPTED,20.72,30
PASS_COMPLETION_PERCENTAGE,60.2,3
PROGRESSIVE_PASSES,1.34,42
PROGRESSIVE CARRIES,1.89,24
DRIBBLES_COMPLETED,0.11,1
TOUCHES_IN_AREA,3.45,5
PROGRESSIVE_PASSES_RECIEVED,5.24,8
PRESSURES,13.26,37
TACKLES,0.67,48
INTERCEPTIONS,0.89,97
BLOCKS,1.45,96
CLEARANCES,0.45,31
AERIAL_DUELS_WON,2.01,59
