Hernández,Aridane,Osasuna
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.17,6
ASSISTS,0.00,28
XA,0.00,17
NON_PEN_XG+XA,0.02,4
SHOT_CREATIONS,0.26,7
PASSES_ATTEMPTED,32.96,4
PASS_COMPLETION_PERCENTAGE,81.2,14
PROGRESSIVE_PASSES,2.13,31
PROGRESSIVE CARRIES,1.05,8
DRIBBLES_COMPLETED,0.26,63
TOUCHES_IN_AREA,0.44,13
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,6.10,12
TACKLES,1.26,31
INTERCEPTIONS,2.22,83
BLOCKS,1.83,68
CLEARANCES,7.53,96
AERIAL_DUELS_WON,2.96,65
