Vidal,Nacho,Osasuna
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,33
TOTAL_SHOTS,0.43,32
ASSISTS,0.00,8
XA,0.05,25
NON_PEN_XG+XA,0.07,22
SHOT_CREATIONS,1.21,21
PASSES_ATTEMPTED,42.72,12
PASS_COMPLETION_PERCENTAGE,72.7,18
PROGRESSIVE_PASSES,2.84,21
PROGRESSIVE CARRIES,1.89,2
DRIBBLES_COMPLETED,0.80,52
TOUCHES_IN_AREA,1.23,45
PROGRESSIVE_PASSES_RECIEVED,1.12,15
PRESSURES,13.69,64
TACKLES,2.35,67
INTERCEPTIONS,2.01,81
BLOCKS,2.70,94
CLEARANCES,3.50,91
AERIAL_DUELS_WON,2.50,97
