Brašanac,Darko,Osasuna
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,69
NON_PEN_XG,0.09,70
TOTAL_SHOTS,0.77,38
ASSISTS,0.04,35
XA,0.05,36
NON_PEN_XG+XA,0.14,51
SHOT_CREATIONS,1.97,58
PASSES_ATTEMPTED,32.27,5
PASS_COMPLETION_PERCENTAGE,72.8,4
PROGRESSIVE_PASSES,2.05,5
PROGRESSIVE CARRIES,3.33,39
DRIBBLES_COMPLETED,0.77,49
TOUCHES_IN_AREA,3.72,98
PROGRESSIVE_PASSES_RECIEVED,6.20,99
PRESSURES,18.50,50
TACKLES,1.41,10
INTERCEPTIONS,0.77,4
BLOCKS,1.28,25
CLEARANCES,1.15,31
AERIAL_DUELS_WON,2.69,93
