Abdul Samed,Salis,Clermont Foot
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,13
TOTAL_SHOTS,0.38,9
ASSISTS,0.00,11
XA,0.05,35
NON_PEN_XG+XA,0.08,20
SHOT_CREATIONS,1.02,10
PASSES_ATTEMPTED,68.50,90
PASS_COMPLETION_PERCENTAGE,93.1,99
PROGRESSIVE_PASSES,2.54,12
PROGRESSIVE CARRIES,2.74,24
DRIBBLES_COMPLETED,0.83,55
TOUCHES_IN_AREA,0.45,10
PROGRESSIVE_PASSES_RECIEVED,1.34,36
PRESSURES,20.86,75
TACKLES,2.48,63
INTERCEPTIONS,1.84,70
BLOCKS,1.14,15
CLEARANCES,0.70,10
AERIAL_DUELS_WON,0.76,30
