Gastien,Johan,Clermont Foot
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,26
TOTAL_SHOTS,0.81,40
ASSISTS,0.07,57
XA,0.06,42
NON_PEN_XG+XA,0.10,27
SHOT_CREATIONS,2.20,65
PASSES_ATTEMPTED,90.44,99
PASS_COMPLETION_PERCENTAGE,84.3,54
PROGRESSIVE_PASSES,7.33,98
PROGRESSIVE CARRIES,3.15,33
DRIBBLES_COMPLETED,0.37,13
TOUCHES_IN_AREA,0.88,37
PROGRESSIVE_PASSES_RECIEVED,0.73,12
PRESSURES,19.20,60
TACKLES,2.13,45
INTERCEPTIONS,2.13,86
BLOCKS,2.71,99
CLEARANCES,1.83,72
AERIAL_DUELS_WON,0.66,21
