Bayo,Mohamed,Clermont Foot
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.54,82
NON_PEN_XG,0.49,84
TOTAL_SHOTS,2.56,59
ASSISTS,0.13,52
XA,0.16,70
NON_PEN_XG+XA,0.65,84
SHOT_CREATIONS,2.36,58
PASSES_ATTEMPTED,21.25,34
PASS_COMPLETION_PERCENTAGE,74.6,63
PROGRESSIVE_PASSES,1.75,64
PROGRESSIVE CARRIES,2.16,33
DRIBBLES_COMPLETED,1.42,74
TOUCHES_IN_AREA,4.99,43
PROGRESSIVE_PASSES_RECIEVED,8.16,63
PRESSURES,10.05,11
TACKLES,0.40,18
INTERCEPTIONS,0.40,54
BLOCKS,0.67,38
CLEARANCES,0.27,17
AERIAL_DUELS_WON,1.62,45
