Djoco,Ouparine,Clermont Foot
,,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.50,1
GOALS_CONCEDED,1.20,68
SAVE_PERCENTAGE,53.8,1
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.19,1
CLEAN_SHEET_PERCENTAGE,20.0,34
TOUCHES,29.40,8
LAUNCH_PERCENTAGE,36.3,30
GOAL_KICKS,5.00,3
AVG_GOAL_KICK_DISTANCE,38.3,24
CROSSES_STOPPED_PERCENTAGE,3.7,2
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.80,71
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.9,66
