N'Simba,Vital,Clermont Foot
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,71
NON_PEN_XG,0.03,42
TOTAL_SHOTS,0.95,83
ASSISTS,0.13,70
XA,0.10,69
NON_PEN_XG+XA,0.13,58
SHOT_CREATIONS,1.72,54
PASSES_ATTEMPTED,59.30,76
PASS_COMPLETION_PERCENTAGE,78.1,57
PROGRESSIVE_PASSES,4.70,81
PROGRESSIVE CARRIES,5.08,61
DRIBBLES_COMPLETED,1.53,88
TOUCHES_IN_AREA,0.89,24
PROGRESSIVE_PASSES_RECIEVED,2.22,58
PRESSURES,11.50,31
TACKLES,2.80,83
INTERCEPTIONS,2.35,92
BLOCKS,1.53,23
CLEARANCES,0.89,1
AERIAL_DUELS_WON,0.51,11
