Zedadka,Akim,Clermont Foot
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,45
TOTAL_SHOTS,0.84,74
ASSISTS,0.06,36
XA,0.06,29
NON_PEN_XG+XA,0.09,31
SHOT_CREATIONS,2.01,70
PASSES_ATTEMPTED,56.71,67
PASS_COMPLETION_PERCENTAGE,81.3,74
PROGRESSIVE_PASSES,3.35,42
PROGRESSIVE CARRIES,5.46,70
DRIBBLES_COMPLETED,1.06,70
TOUCHES_IN_AREA,0.95,30
PROGRESSIVE_PASSES_RECIEVED,2.73,72
PRESSURES,11.54,33
TACKLES,2.62,80
INTERCEPTIONS,2.51,96
BLOCKS,1.56,26
CLEARANCES,1.34,9
AERIAL_DUELS_WON,1.06,41
