Hountondji,Cédric,Clermont Foot
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,40
TOTAL_SHOTS,0.48,48
ASSISTS,0.00,28
XA,0.01,32
NON_PEN_XG+XA,0.04,20
SHOT_CREATIONS,0.16,2
PASSES_ATTEMPTED,47.46,33
PASS_COMPLETION_PERCENTAGE,88.8,69
PROGRESSIVE_PASSES,1.51,10
PROGRESSIVE CARRIES,1.51,21
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,1.03,75
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,6.67,17
TACKLES,1.75,67
INTERCEPTIONS,1.75,52
BLOCKS,0.56,1
CLEARANCES,4.44,35
AERIAL_DUELS_WON,2.62,54
