Desmas,Arthur,Clermont Foot
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.53,1
GOALS_CONCEDED,2.00,3
SAVE_PERCENTAGE,54.7,1
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,23.1,45
TOUCHES,30.08,11
LAUNCH_PERCENTAGE,33.3,24
GOAL_KICKS,7.77,59
AVG_GOAL_KICK_DISTANCE,38.1,24
CROSSES_STOPPED_PERCENTAGE,3.5,1
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.38,15
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,12.4,6
