Ogier,Florent,Clermont Foot
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,69
NON_PEN_XG,0.02,14
TOTAL_SHOTS,0.38,31
ASSISTS,0.00,28
XA,0.01,50
NON_PEN_XG+XA,0.03,12
SHOT_CREATIONS,0.31,14
PASSES_ATTEMPTED,56.20,60
PASS_COMPLETION_PERCENTAGE,85.6,41
PROGRESSIVE_PASSES,2.27,35
PROGRESSIVE CARRIES,1.32,16
DRIBBLES_COMPLETED,0.25,60
TOUCHES_IN_AREA,0.63,29
PROGRESSIVE_PASSES_RECIEVED,0.13,41
PRESSURES,7.43,31
TACKLES,1.38,43
INTERCEPTIONS,1.32,20
BLOCKS,2.45,97
CLEARANCES,4.34,30
AERIAL_DUELS_WON,2.33,41
