Rashani,Elba,Clermont Foot
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.45,94
NON_PEN_XG,0.13,17
TOTAL_SHOTS,1.22,9
ASSISTS,0.22,66
XA,0.24,81
NON_PEN_XG+XA,0.38,49
SHOT_CREATIONS,1.67,2
PASSES_ATTEMPTED,31.82,24
PASS_COMPLETION_PERCENTAGE,82.2,88
PROGRESSIVE_PASSES,2.23,19
PROGRESSIVE CARRIES,5.23,32
DRIBBLES_COMPLETED,0.78,8
TOUCHES_IN_AREA,3.56,40
PROGRESSIVE_PASSES_RECIEVED,5.12,25
PRESSURES,23.03,96
TACKLES,2.67,97
INTERCEPTIONS,1.34,85
BLOCKS,2.45,98
CLEARANCES,1.00,87
AERIAL_DUELS_WON,0.78,63
