Berthomier,Jason,Clermont Foot
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,12
NON_PEN_XG,0.13,16
TOTAL_SHOTS,1.29,10
ASSISTS,0.26,76
XA,0.21,71
NON_PEN_XG+XA,0.34,39
SHOT_CREATIONS,4.47,86
PASSES_ATTEMPTED,76.07,99
PASS_COMPLETION_PERCENTAGE,82.7,89
PROGRESSIVE_PASSES,6.02,96
PROGRESSIVE CARRIES,4.47,15
DRIBBLES_COMPLETED,1.29,32
TOUCHES_IN_AREA,2.49,13
PROGRESSIVE_PASSES_RECIEVED,4.99,25
PRESSURES,14.87,39
TACKLES,1.63,70
INTERCEPTIONS,0.34,2
BLOCKS,0.69,9
CLEARANCES,0.26,17
AERIAL_DUELS_WON,0.60,45
