Cahill,Gary,Bournemouth
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,68
NON_PEN_XG,0.04,37
TOTAL_SHOTS,0.63,74
ASSISTS,0.06,88
XA,0.02,66
NON_PEN_XG+XA,0.06,43
SHOT_CREATIONS,0.50,44
PASSES_ATTEMPTED,32.81,3
PASS_COMPLETION_PERCENTAGE,83.8,30
PROGRESSIVE_PASSES,1.56,11
PROGRESSIVE CARRIES,0.81,5
DRIBBLES_COMPLETED,0.06,11
TOUCHES_IN_AREA,1.31,89
PROGRESSIVE_PASSES_RECIEVED,0.06,20
PRESSURES,5.06,3
TACKLES,0.69,2
INTERCEPTIONS,1.13,6
BLOCKS,2.38,96
CLEARANCES,6.69,90
AERIAL_DUELS_WON,3.81,90
