Rodríguez,Ricardo,Torino
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,12
TOTAL_SHOTS,0.52,57
ASSISTS,0.00,28
XA,0.05,95
NON_PEN_XG+XA,0.06,52
SHOT_CREATIONS,1.28,96
PASSES_ATTEMPTED,50.39,45
PASS_COMPLETION_PERCENTAGE,84.4,35
PROGRESSIVE_PASSES,3.03,63
PROGRESSIVE CARRIES,4.31,84
DRIBBLES_COMPLETED,0.41,82
TOUCHES_IN_AREA,0.41,12
PROGRESSIVE_PASSES_RECIEVED,0.58,92
PRESSURES,12.12,86
TACKLES,1.75,67
INTERCEPTIONS,1.63,44
BLOCKS,1.98,80
CLEARANCES,2.56,1
AERIAL_DUELS_WON,1.63,11
