"b'Lukic, Sasa'",Torino
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,32
NON_PEN_XG,0.08,66
TOTAL_SHOTS,0.93,50
ASSISTS,0.06,49
XA,0.10,73
NON_PEN_XG+XA,0.18,73
SHOT_CREATIONS,2.39,74
PASSES_ATTEMPTED,43.25,29
PASS_COMPLETION_PERCENTAGE,85.0,57
PROGRESSIVE_PASSES,2.76,18
PROGRESSIVE CARRIES,5.53,83
DRIBBLES_COMPLETED,1.02,69
TOUCHES_IN_AREA,1.58,74
PROGRESSIVE_PASSES_RECIEVED,2.73,77
PRESSURES,19.00,56
TACKLES,1.83,29
INTERCEPTIONS,1.21,24
BLOCKS,2.08,87
CLEARANCES,0.81,14
AERIAL_DUELS_WON,1.21,52
