"b'Milinkovic-Savic, Vanja'",Torino
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.04,48
GOALS_CONCEDED,1.00,86
SAVE_PERCENTAGE,71.9,68
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.26,14
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,19.0,29
TOUCHES,38.90,73
LAUNCH_PERCENTAGE,60.4,91
GOAL_KICKS,6.10,15
AVG_GOAL_KICK_DISTANCE,65.6,98
CROSSES_STOPPED_PERCENTAGE,7.7,58
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.71,63
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.2,40
