Ansaldi,Cristian,Torino
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.05,63
TOTAL_SHOTS,0.84,76
ASSISTS,0.42,99
XA,0.25,98
NON_PEN_XG+XA,0.30,95
SHOT_CREATIONS,3.19,96
PASSES_ATTEMPTED,48.05,29
PASS_COMPLETION_PERCENTAGE,68.8,6
PROGRESSIVE_PASSES,4.13,68
PROGRESSIVE CARRIES,7.41,93
DRIBBLES_COMPLETED,1.41,84
TOUCHES_IN_AREA,1.92,73
PROGRESSIVE_PASSES_RECIEVED,1.60,31
PRESSURES,11.73,37
TACKLES,2.39,70
INTERCEPTIONS,1.27,22
BLOCKS,1.36,12
CLEARANCES,1.13,4
AERIAL_DUELS_WON,0.38,3
