Praet,Dennis,Torino
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,20
NON_PEN_XG,0.22,56
TOTAL_SHOTS,1.95,48
ASSISTS,0.11,23
XA,0.31,92
NON_PEN_XG+XA,0.53,80
SHOT_CREATIONS,3.21,51
PASSES_ATTEMPTED,37.90,47
PASS_COMPLETION_PERCENTAGE,73.7,34
PROGRESSIVE_PASSES,2.18,18
PROGRESSIVE CARRIES,4.58,18
DRIBBLES_COMPLETED,1.03,18
TOUCHES_IN_AREA,5.04,75
PROGRESSIVE_PASSES_RECIEVED,6.76,57
PRESSURES,12.82,18
TACKLES,1.95,84
INTERCEPTIONS,1.15,75
BLOCKS,1.03,33
CLEARANCES,0.23,14
AERIAL_DUELS_WON,0.57,42
