Buongiorno,Alessandro,Torino
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,46
TOTAL_SHOTS,0.37,28
ASSISTS,0.06,88
XA,0.04,87
NON_PEN_XG+XA,0.08,73
SHOT_CREATIONS,0.43,33
PASSES_ATTEMPTED,42.58,18
PASS_COMPLETION_PERCENTAGE,82.3,19
PROGRESSIVE_PASSES,2.27,35
PROGRESSIVE CARRIES,2.94,58
DRIBBLES_COMPLETED,0.12,24
TOUCHES_IN_AREA,0.92,64
PROGRESSIVE_PASSES_RECIEVED,0.18,59
PRESSURES,11.52,80
TACKLES,1.16,23
INTERCEPTIONS,2.14,76
BLOCKS,1.72,57
CLEARANCES,3.98,21
AERIAL_DUELS_WON,3.43,82
