Bremer,Gleison,Torino
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,98
NON_PEN_XG,0.14,99
TOTAL_SHOTS,0.90,93
ASSISTS,0.03,59
XA,0.01,40
NON_PEN_XG+XA,0.15,98
SHOT_CREATIONS,0.72,72
PASSES_ATTEMPTED,47.15,32
PASS_COMPLETION_PERCENTAGE,83.9,31
PROGRESSIVE_PASSES,2.11,30
PROGRESSIVE CARRIES,2.00,35
DRIBBLES_COMPLETED,0.26,62
TOUCHES_IN_AREA,1.64,96
PROGRESSIVE_PASSES_RECIEVED,0.28,77
PRESSURES,13.98,95
TACKLES,2.03,78
INTERCEPTIONS,3.62,99
BLOCKS,2.24,90
CLEARANCES,6.24,84
AERIAL_DUELS_WON,3.88,91
