Izzo,Armando,Torino
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,83
NON_PEN_XG,0.06,76
TOTAL_SHOTS,0.73,80
ASSISTS,0.00,28
XA,0.02,64
NON_PEN_XG+XA,0.08,76
SHOT_CREATIONS,1.14,94
PASSES_ATTEMPTED,50.91,46
PASS_COMPLETION_PERCENTAGE,81.4,14
PROGRESSIVE_PASSES,3.06,64
PROGRESSIVE CARRIES,3.10,61
DRIBBLES_COMPLETED,0.32,74
TOUCHES_IN_AREA,1.69,97
PROGRESSIVE_PASSES_RECIEVED,0.59,93
PRESSURES,11.31,80
TACKLES,1.41,46
INTERCEPTIONS,2.60,93
BLOCKS,1.37,19
CLEARANCES,5.06,52
AERIAL_DUELS_WON,3.10,70
