Haïdara,Massadio,Lens
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,83
NON_PEN_XG,0.12,96
TOTAL_SHOTS,0.69,62
ASSISTS,0.05,30
XA,0.12,77
NON_PEN_XG+XA,0.23,87
SHOT_CREATIONS,1.42,37
PASSES_ATTEMPTED,49.24,34
PASS_COMPLETION_PERCENTAGE,83.2,83
PROGRESSIVE_PASSES,3.53,49
PROGRESSIVE CARRIES,5.05,61
DRIBBLES_COMPLETED,0.64,39
TOUCHES_IN_AREA,1.96,75
PROGRESSIVE_PASSES_RECIEVED,1.42,26
PRESSURES,16.63,87
TACKLES,2.11,57
INTERCEPTIONS,1.52,43
BLOCKS,2.60,93
CLEARANCES,3.63,95
AERIAL_DUELS_WON,1.86,86
