Kalimuendo,Arnaud,Lens
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.42,66
NON_PEN_XG,0.36,54
TOTAL_SHOTS,2.22,38
ASSISTS,0.16,62
XA,0.14,63
NON_PEN_XG+XA,0.50,55
SHOT_CREATIONS,2.65,69
PASSES_ATTEMPTED,21.44,37
PASS_COMPLETION_PERCENTAGE,80.5,91
PROGRESSIVE_PASSES,0.90,13
PROGRESSIVE CARRIES,5.29,86
DRIBBLES_COMPLETED,1.48,78
TOUCHES_IN_AREA,4.08,14
PROGRESSIVE_PASSES_RECIEVED,9.00,81
PRESSURES,16.89,75
TACKLES,0.42,22
INTERCEPTIONS,0.26,27
BLOCKS,0.58,27
CLEARANCES,0.11,5
AERIAL_DUELS_WON,0.53,7
