Gradit,Jonathan,Lens
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.08,2
ASSISTS,0.03,61
XA,0.04,88
NON_PEN_XG+XA,0.04,18
SHOT_CREATIONS,1.13,94
PASSES_ATTEMPTED,58.03,65
PASS_COMPLETION_PERCENTAGE,89.6,77
PROGRESSIVE_PASSES,5.60,98
PROGRESSIVE CARRIES,7.16,99
DRIBBLES_COMPLETED,0.75,98
TOUCHES_IN_AREA,0.08,1
PROGRESSIVE_PASSES_RECIEVED,0.16,52
PRESSURES,9.25,58
TACKLES,1.80,71
INTERCEPTIONS,2.04,72
BLOCKS,1.69,54
CLEARANCES,3.89,16
AERIAL_DUELS_WON,1.82,15
