Fofana,Seko,Lens
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,92
NON_PEN_XG,0.20,98
TOTAL_SHOTS,2.29,98
ASSISTS,0.03,22
XA,0.10,75
NON_PEN_XG+XA,0.30,93
SHOT_CREATIONS,2.68,83
PASSES_ATTEMPTED,46.80,37
PASS_COMPLETION_PERCENTAGE,86.9,74
PROGRESSIVE_PASSES,3.26,36
PROGRESSIVE CARRIES,6.93,92
DRIBBLES_COMPLETED,1.82,95
TOUCHES_IN_AREA,2.66,91
PROGRESSIVE_PASSES_RECIEVED,5.68,98
PRESSURES,15.16,20
TACKLES,0.94,2
INTERCEPTIONS,1.41,33
BLOCKS,1.22,20
CLEARANCES,0.68,9
AERIAL_DUELS_WON,0.57,16
