Doucouré,Cheick,Lens
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,56
NON_PEN_XG,0.06,45
TOTAL_SHOTS,1.17,69
ASSISTS,0.12,76
XA,0.08,57
NON_PEN_XG+XA,0.13,49
SHOT_CREATIONS,2.35,73
PASSES_ATTEMPTED,51.99,54
PASS_COMPLETION_PERCENTAGE,86.4,70
PROGRESSIVE_PASSES,5.30,81
PROGRESSIVE CARRIES,5.84,86
DRIBBLES_COMPLETED,0.69,43
TOUCHES_IN_AREA,0.69,24
PROGRESSIVE_PASSES_RECIEVED,1.75,52
PRESSURES,15.96,27
TACKLES,2.80,79
INTERCEPTIONS,2.11,84
BLOCKS,1.11,13
CLEARANCES,1.27,39
AERIAL_DUELS_WON,0.93,39
