Clauss,Jonathan,Lens
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,92
NON_PEN_XG,0.07,77
TOTAL_SHOTS,1.03,85
ASSISTS,0.34,98
XA,0.26,99
NON_PEN_XG+XA,0.33,98
SHOT_CREATIONS,3.55,98
PASSES_ATTEMPTED,51.89,47
PASS_COMPLETION_PERCENTAGE,69.9,8
PROGRESSIVE_PASSES,4.38,75
PROGRESSIVE CARRIES,6.04,79
DRIBBLES_COMPLETED,0.74,49
TOUCHES_IN_AREA,1.86,71
PROGRESSIVE_PASSES_RECIEVED,4.29,94
PRESSURES,12.67,51
TACKLES,1.72,30
INTERCEPTIONS,2.12,84
BLOCKS,1.77,42
CLEARANCES,1.77,22
AERIAL_DUELS_WON,0.57,12
