Pereira da Costa,David,Lens
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.34,82
NON_PEN_XG,0.24,64
TOTAL_SHOTS,1.35,13
ASSISTS,0.34,90
XA,0.25,83
NON_PEN_XG+XA,0.49,75
SHOT_CREATIONS,3.88,76
PASSES_ATTEMPTED,41.88,61
PASS_COMPLETION_PERCENTAGE,80.2,77
PROGRESSIVE_PASSES,4.39,79
PROGRESSIVE CARRIES,5.91,48
DRIBBLES_COMPLETED,2.03,66
TOUCHES_IN_AREA,3.88,50
PROGRESSIVE_PASSES_RECIEVED,6.59,55
PRESSURES,21.11,87
TACKLES,1.86,79
INTERCEPTIONS,0.51,10
BLOCKS,1.69,87
CLEARANCES,0.34,25
AERIAL_DUELS_WON,0.34,19
