Leca,Jean-Louis,Lens
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.02,64
GOALS_CONCEDED,1.35,50
SAVE_PERCENTAGE,69.3,53
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,15.0,15
TOUCHES,30.14,13
LAUNCH_PERCENTAGE,42.1,48
GOAL_KICKS,7.66,57
AVG_GOAL_KICK_DISTANCE,39.2,30
CROSSES_STOPPED_PERCENTAGE,8.9,77
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.66,55
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.6,55
