Méndez,Brais,Celta Vigo
AM,CM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,97
NON_PEN_XG,0.20,97
TOTAL_SHOTS,1.83,94
ASSISTS,0.08,60
XA,0.07,49
NON_PEN_XG+XA,0.26,88
SHOT_CREATIONS,2.04,61
PASSES_ATTEMPTED,42.02,25
PASS_COMPLETION_PERCENTAGE,78.4,18
PROGRESSIVE_PASSES,3.25,35
PROGRESSIVE CARRIES,3.47,43
DRIBBLES_COMPLETED,0.87,58
TOUCHES_IN_AREA,2.81,94
PROGRESSIVE_PASSES_RECIEVED,5.48,96
PRESSURES,21.81,82
TACKLES,2.20,49
INTERCEPTIONS,1.30,27
BLOCKS,1.61,57
CLEARANCES,1.16,31
AERIAL_DUELS_WON,1.48,63
