Fontán,José,Celta Vigo
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,34
TOTAL_SHOTS,0.35,25
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.04,16
SHOT_CREATIONS,0.35,20
PASSES_ATTEMPTED,53.83,52
PASS_COMPLETION_PERCENTAGE,86.0,43
PROGRESSIVE_PASSES,2.45,44
PROGRESSIVE CARRIES,4.54,85
DRIBBLES_COMPLETED,0.17,41
TOUCHES_IN_AREA,0.35,9
PROGRESSIVE_PASSES_RECIEVED,0.17,55
PRESSURES,10.66,74
TACKLES,2.10,81
INTERCEPTIONS,1.57,41
BLOCKS,1.05,3
CLEARANCES,6.47,87
AERIAL_DUELS_WON,1.75,13
