Aspas,Iago,Celta Vigo
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,43
NON_PEN_XG,0.22,13
TOTAL_SHOTS,1.64,7
ASSISTS,0.33,95
XA,0.24,92
NON_PEN_XG+XA,0.46,46
SHOT_CREATIONS,3.33,86
PASSES_ATTEMPTED,40.14,95
PASS_COMPLETION_PERCENTAGE,76.0,71
PROGRESSIVE_PASSES,3.33,92
PROGRESSIVE CARRIES,6.01,91
DRIBBLES_COMPLETED,1.16,64
TOUCHES_IN_AREA,5.56,68
PROGRESSIVE_PASSES_RECIEVED,9.48,88
PRESSURES,11.42,21
TACKLES,0.33,9
INTERCEPTIONS,0.59,80
BLOCKS,1.10,81
CLEARANCES,0.42,30
AERIAL_DUELS_WON,0.80,15
