Cervi,Franco,Celta Vigo
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,83
NON_PEN_XG,0.13,87
TOTAL_SHOTS,0.91,47
ASSISTS,0.13,78
XA,0.12,82
NON_PEN_XG+XA,0.25,87
SHOT_CREATIONS,1.95,57
PASSES_ATTEMPTED,38.78,19
PASS_COMPLETION_PERCENTAGE,73.6,5
PROGRESSIVE_PASSES,2.72,17
PROGRESSIVE CARRIES,5.06,78
DRIBBLES_COMPLETED,0.65,38
TOUCHES_IN_AREA,2.72,92
PROGRESSIVE_PASSES_RECIEVED,2.72,77
PRESSURES,20.10,71
TACKLES,2.98,85
INTERCEPTIONS,1.69,57
BLOCKS,3.11,99
CLEARANCES,0.65,7
AERIAL_DUELS_WON,0.91,38
