Tapia,Renato,Celta Vigo
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,20
TOTAL_SHOTS,0.67,31
ASSISTS,0.03,26
XA,0.03,14
NON_PEN_XG+XA,0.05,11
SHOT_CREATIONS,0.80,5
PASSES_ATTEMPTED,55.78,64
PASS_COMPLETION_PERCENTAGE,81.1,32
PROGRESSIVE_PASSES,2.97,24
PROGRESSIVE CARRIES,3.54,45
DRIBBLES_COMPLETED,0.53,27
TOUCHES_IN_AREA,0.57,17
PROGRESSIVE_PASSES_RECIEVED,0.50,6
PRESSURES,20.29,72
TACKLES,3.21,90
INTERCEPTIONS,2.07,82
BLOCKS,2.61,98
CLEARANCES,3.21,98
AERIAL_DUELS_WON,2.51,90
