Solari,Augusto,Celta Vigo
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,95
NON_PEN_XG,0.16,93
TOTAL_SHOTS,0.94,50
ASSISTS,0.21,92
XA,0.16,91
NON_PEN_XG+XA,0.32,95
SHOT_CREATIONS,2.60,81
PASSES_ATTEMPTED,45.10,34
PASS_COMPLETION_PERCENTAGE,71.2,2
PROGRESSIVE_PASSES,2.18,6
PROGRESSIVE CARRIES,3.95,51
DRIBBLES_COMPLETED,1.35,87
TOUCHES_IN_AREA,3.01,95
PROGRESSIVE_PASSES_RECIEVED,4.16,92
PRESSURES,29.00,99
TACKLES,3.74,96
INTERCEPTIONS,1.56,46
BLOCKS,1.87,76
CLEARANCES,1.66,60
AERIAL_DUELS_WON,1.66,70
