Galán,Javi,Celta Vigo
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,39
NON_PEN_XG,0.01,7
TOTAL_SHOTS,0.40,28
ASSISTS,0.02,16
XA,0.06,34
NON_PEN_XG+XA,0.07,19
SHOT_CREATIONS,1.79,58
PASSES_ATTEMPTED,56.40,65
PASS_COMPLETION_PERCENTAGE,78.0,56
PROGRESSIVE_PASSES,3.23,37
PROGRESSIVE CARRIES,7.33,93
DRIBBLES_COMPLETED,2.88,99
TOUCHES_IN_AREA,0.94,29
PROGRESSIVE_PASSES_RECIEVED,1.76,35
PRESSURES,16.86,88
TACKLES,3.65,96
INTERCEPTIONS,1.47,38
BLOCKS,1.86,51
CLEARANCES,1.29,8
AERIAL_DUELS_WON,0.50,10
