Suárez,Denis,Celta Vigo
AM,CM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,8
NON_PEN_XG,0.04,1
TOTAL_SHOTS,0.62,1
ASSISTS,0.20,54
XA,0.15,38
NON_PEN_XG+XA,0.19,4
SHOT_CREATIONS,2.78,29
PASSES_ATTEMPTED,66.00,99
PASS_COMPLETION_PERCENTAGE,80.1,76
PROGRESSIVE_PASSES,5.22,89
PROGRESSIVE CARRIES,7.72,80
DRIBBLES_COMPLETED,0.99,17
TOUCHES_IN_AREA,0.82,1
PROGRESSIVE_PASSES_RECIEVED,1.96,1
PRESSURES,21.30,87
TACKLES,2.30,93
INTERCEPTIONS,0.85,47
BLOCKS,1.33,64
CLEARANCES,0.57,57
AERIAL_DUELS_WON,0.54,38
