Di María,Ángel,Paris S-G
AM,CM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,36
NON_PEN_XG,0.25,68
TOTAL_SHOTS,2.80,85
ASSISTS,0.39,94
XA,0.41,99
NON_PEN_XG+XA,0.66,93
SHOT_CREATIONS,5.60,97
PASSES_ATTEMPTED,60.77,98
PASS_COMPLETION_PERCENTAGE,74.2,37
PROGRESSIVE_PASSES,5.85,95
PROGRESSIVE CARRIES,10.24,95
DRIBBLES_COMPLETED,2.09,69
TOUCHES_IN_AREA,4.68,67
PROGRESSIVE_PASSES_RECIEVED,8.40,89
PRESSURES,18.14,68
TACKLES,1.70,73
INTERCEPTIONS,0.82,42
BLOCKS,1.06,36
CLEARANCES,0.25,17
AERIAL_DUELS_WON,0.04,1
