Pereira,Danilo,Paris S-G
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,80
NON_PEN_XG,0.09,73
TOTAL_SHOTS,0.66,30
ASSISTS,0.04,31
XA,0.01,4
NON_PEN_XG+XA,0.10,31
SHOT_CREATIONS,0.81,6
PASSES_ATTEMPTED,68.49,90
PASS_COMPLETION_PERCENTAGE,93.1,99
PROGRESSIVE_PASSES,2.63,15
PROGRESSIVE CARRIES,3.36,40
DRIBBLES_COMPLETED,0.42,17
TOUCHES_IN_AREA,0.73,28
PROGRESSIVE_PASSES_RECIEVED,0.42,3
PRESSURES,11.59,2
TACKLES,1.66,19
INTERCEPTIONS,2.12,85
BLOCKS,1.39,36
CLEARANCES,2.78,96
AERIAL_DUELS_WON,2.05,83
