Kimpembe,Presnel,Paris S-G
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,4
TOTAL_SHOTS,0.17,5
ASSISTS,0.00,28
XA,0.01,49
NON_PEN_XG+XA,0.02,5
SHOT_CREATIONS,0.51,48
PASSES_ATTEMPTED,69.58,88
PASS_COMPLETION_PERCENTAGE,95.8,99
PROGRESSIVE_PASSES,2.50,46
PROGRESSIVE CARRIES,2.75,53
DRIBBLES_COMPLETED,0.15,31
TOUCHES_IN_AREA,0.34,8
PROGRESSIVE_PASSES_RECIEVED,0.05,13
PRESSURES,7.57,34
TACKLES,1.52,53
INTERCEPTIONS,1.79,58
BLOCKS,1.20,8
CLEARANCES,3.24,7
AERIAL_DUELS_WON,1.35,5
