Messi,Lionel,Paris S-G
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.77,97
NON_PEN_XG,0.55,88
TOTAL_SHOTS,4.96,99
ASSISTS,0.34,96
XA,0.33,99
NON_PEN_XG+XA,0.88,98
SHOT_CREATIONS,6.26,99
PASSES_ATTEMPTED,69.63,99
PASS_COMPLETION_PERCENTAGE,83.4,97
PROGRESSIVE_PASSES,9.42,99
PROGRESSIVE CARRIES,14.51,99
DRIBBLES_COMPLETED,3.77,99
TOUCHES_IN_AREA,6.18,80
PROGRESSIVE_PASSES_RECIEVED,7.35,46
PRESSURES,9.12,7
TACKLES,0.61,43
INTERCEPTIONS,0.32,37
BLOCKS,0.27,2
CLEARANCES,0.03,1
AERIAL_DUELS_WON,0.19,2
