Mendes,Nuno,Paris S-G
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,7
TOTAL_SHOTS,0.30,19
ASSISTS,0.00,8
XA,0.08,49
NON_PEN_XG+XA,0.09,31
SHOT_CREATIONS,1.78,57
PASSES_ATTEMPTED,54.40,60
PASS_COMPLETION_PERCENTAGE,84.9,89
PROGRESSIVE_PASSES,3.07,29
PROGRESSIVE CARRIES,4.35,45
DRIBBLES_COMPLETED,1.19,77
TOUCHES_IN_AREA,1.58,62
PROGRESSIVE_PASSES_RECIEVED,1.48,27
PRESSURES,13.35,60
TACKLES,2.37,69
INTERCEPTIONS,2.47,95
BLOCKS,3.56,99
CLEARANCES,0.99,3
AERIAL_DUELS_WON,0.59,14
