Gana Gueye,Idrissa,Paris S-G
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,91
NON_PEN_XG,0.05,42
TOTAL_SHOTS,0.85,43
ASSISTS,0.03,27
XA,0.06,44
NON_PEN_XG+XA,0.12,39
SHOT_CREATIONS,1.66,42
PASSES_ATTEMPTED,71.09,91
PASS_COMPLETION_PERCENTAGE,92.3,98
PROGRESSIVE_PASSES,4.26,59
PROGRESSIVE CARRIES,5.48,82
DRIBBLES_COMPLETED,1.32,86
TOUCHES_IN_AREA,0.74,30
PROGRESSIVE_PASSES_RECIEVED,1.59,47
PRESSURES,25.50,96
TACKLES,3.79,97
INTERCEPTIONS,1.83,68
BLOCKS,1.62,58
CLEARANCES,0.88,18
AERIAL_DUELS_WON,0.61,17
