Mbappé,Kylian,Paris S-G
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.67,94
NON_PEN_XG,0.61,96
TOTAL_SHOTS,3.33,87
ASSISTS,0.36,97
XA,0.24,93
NON_PEN_XG+XA,0.84,96
SHOT_CREATIONS,3.78,95
PASSES_ATTEMPTED,37.08,90
PASS_COMPLETION_PERCENTAGE,78.3,86
PROGRESSIVE_PASSES,2.17,75
PROGRESSIVE CARRIES,8.69,99
DRIBBLES_COMPLETED,3.11,98
TOUCHES_IN_AREA,9.11,99
PROGRESSIVE_PASSES_RECIEVED,11.46,98
PRESSURES,8.00,4
TACKLES,0.38,15
INTERCEPTIONS,0.45,61
BLOCKS,0.25,1
CLEARANCES,0.45,32
AERIAL_DUELS_WON,0.27,3
