Paredes,Leandro,Paris S-G
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,51
NON_PEN_XG,0.05,40
TOTAL_SHOTS,1.14,68
ASSISTS,0.21,91
XA,0.10,73
NON_PEN_XG+XA,0.14,56
SHOT_CREATIONS,1.66,42
PASSES_ATTEMPTED,90.62,99
PASS_COMPLETION_PERCENTAGE,91.7,97
PROGRESSIVE_PASSES,6.72,94
PROGRESSIVE CARRIES,4.97,75
DRIBBLES_COMPLETED,0.67,42
TOUCHES_IN_AREA,0.26,3
PROGRESSIVE_PASSES_RECIEVED,0.72,11
PRESSURES,12.78,7
TACKLES,2.59,71
INTERCEPTIONS,1.55,45
BLOCKS,1.55,52
CLEARANCES,1.03,25
AERIAL_DUELS_WON,0.72,26
