Verratti,Marco,Paris S-G
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,26
TOTAL_SHOTS,0.37,8
ASSISTS,0.12,77
XA,0.13,87
NON_PEN_XG+XA,0.17,67
SHOT_CREATIONS,2.77,85
PASSES_ATTEMPTED,94.64,99
PASS_COMPLETION_PERCENTAGE,91.2,96
PROGRESSIVE_PASSES,5.98,89
PROGRESSIVE CARRIES,9.56,99
DRIBBLES_COMPLETED,2.11,98
TOUCHES_IN_AREA,2.28,87
PROGRESSIVE_PASSES_RECIEVED,3.33,86
PRESSURES,20.09,70
TACKLES,2.97,84
INTERCEPTIONS,1.67,55
BLOCKS,1.83,74
CLEARANCES,0.73,11
AERIAL_DUELS_WON,0.41,6
