Diallo,Abdou,Paris S-G
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,17
TOTAL_SHOTS,0.18,6
ASSISTS,0.09,56
XA,0.05,23
NON_PEN_XG+XA,0.06,15
SHOT_CREATIONS,0.50,1
PASSES_ATTEMPTED,67.01,88
PASS_COMPLETION_PERCENTAGE,89.0,98
PROGRESSIVE_PASSES,4.63,80
PROGRESSIVE CARRIES,4.86,57
DRIBBLES_COMPLETED,1.59,90
TOUCHES_IN_AREA,0.68,15
PROGRESSIVE_PASSES_RECIEVED,0.95,9
PRESSURES,11.40,29
TACKLES,2.36,69
INTERCEPTIONS,1.68,58
BLOCKS,1.68,36
CLEARANCES,2.18,40
AERIAL_DUELS_WON,1.14,46
